drug_name,active_ingredient,drug_classes,original_conditions
botox,onabotulinumtoxina,Skeletal muscle relaxants,Cervical Dystonia|Chronic Spasticity|Dystonia|Hyperhidrosis|Incontinence|Migraine|Migraine Prevention|Overactive Bladde|Strabismus|Upper Limb Spasticity|Urinary Incontinence|acial Wrinkles
bpo 6 foaming cloths,benzoyl peroxide,Topical acne agents,Acne
bpo gel,benzoyl peroxide,Topical acne agents,Acne
brevibloc,esmolol,"Cardioselective beta blockers, Group II antiarrhythmics",Hypertension
brevoxyl,benzoyl peroxide,Topical acne agents,Acne
brevoxyl acne wash kit,benzoyl peroxide topical,Topical acne agents,Acne
brexpiprazole,brexpiprazole,Atypical antipsychotics,Depression|Major Depressive Disorde|Not Listed / Othe|Schizophrenia
brivaracetam,brivaracetam,Pyrrolidine anticonvulsants,Seizures
briviact,brivaracetam,Pyrrolidine anticonvulsants,Seizures
brodalumab,brodalumab,Interleukin inhibitors,Plaque Psoriasis|Psoriasis
brodspec,tetracycline,Tetracyclines,Acne
bromocriptine,bromocriptine,"Dopaminergic antiparkinsonism agents, Prolactin inhibitors",Acromegaly|Diabetes (Type 2)|Hyperprolactinemia|Parkinson's Disease|Tardive Dyskinesia
bryhali,halobetasol topical,Topical steroids,Psoriasis
budeprion sr,bupropion,Miscellaneous antidepressants,Depression|Major Depressive Disorde
budesonide,budesonide,"Glucocorticoids, Inhaled corticosteroids","Allergic Rhinitis|Asthma, Maintenance|Autoimmune Hepatitis|Crohn's Disease|Crohn's Disease, Acute|Crohn's Disease, Maintenance|Eosinophilic Esophagitis|Hayfever|IBD (Bowel)|Inflammatory Bowel Disease|Reversible Airways Disease, Maintenance|Ulcerative Colitis|Ulcerative Colitis, Active"
bupivacaine liposome,bupivacaine liposome,Local injectable anesthetics,Pain
buprenorphine,buprenorphine,Opioids (narcotic analgesics),Chronic Pain|Not Listed / Othe|Opiate Dependence|Opiate Dependence - Induction|Opiate Dependence - Maintenance|Pain
bupropion,bupropion,"Miscellaneous antidepressants, Smoking cessation agents","ADHD|ADHD (Attention Deficit Hyperactivity Disorder)|Anxiety|Bipolar Disorde|Bipolar Disorder|Depression|Major Depressive Disorde|Major Depressive Disorder|Migraine Prevention|Not Listed / Othe|Obesity|Panic Disorde|Panic Disorder|Persistent Depressive Disorde|Persistent Depressive Disorder|Postural Orthostatic Tachycardia Syndrome|Premenstrual Dysphoric Disorde|Premenstrual Dysphoric Disorder|Seasonal Affective Disorde|Seasonal Affective Disorder|Sexual Dysfunction, SSRI Induced|Smoking Cessation"
buspar,buspirone,"Miscellaneous anxiolytics, sedatives and hypnotics","Anxiety|Panic Disorde|Sexual Dysfunction, SSRI Induced"
buspirone,buspirone,"Miscellaneous anxiolytics, sedatives and hypnotics","Anxiety|Borderline Personality Disorde|Borderline Personality Disorder|Not Listed / Othe|Panic Disorde|Panic Disorder|Sexual Dysfunction, SSRI Induced"
bydureon,exenatide,Incretin mimetics,"Diabetes (Type 2)|Diabetes, Type 2"
bydureon bcise,exenatide,Incretin mimetics,Diabetes (Type 2)
byetta,exenatide,Incretin mimetics,"Diabetes (Type 2)|Diabetes, Type 2"
bystolic,nebivolol,Cardioselective beta blockers,High Blood Pressure|Hypertension|Mitral Valve Prolapse
c.p.m.,chlorpheniramine,Antihistamines,Colds & Flu
cabotegravir,cabotegravir,Integrase strand transfer inhibitor,AIDS/HIV
cal-lac,calcium lactate,Minerals and electrolytes,Osteoporosis
calan sr,verapamil,"Calcium channel blocking agents, Group IV antiarrhythmics",Angina|Arrhythmia|Cluster Headaches|High Blood Pressure|Migraine Prevention|Nocturnal Leg Cramps|Supraventricular Tachycardia
calci-chew,calcium carbonate chewable tablets,"Antacids, Minerals and electrolytes",GERD (Heartburn)|Osteoporosis
calcipotriene,calcipotriene topical,Topical antipsoriatics,Plaque Psoriasis|Psoriasis
calcitrate,calcium citrate,Minerals and electrolytes,Osteoporosis
calcitrene,calcipotriene topical,Topical antipsoriatics,Psoriasis
calcitriol,calcitriol,Topical antipsoriatics,Hypocalcemia|Hypoparathyroidism|Psoriasis|Renal Osteodystrophy|Rickets|Secondary Hyperparathyroidism
calcium carbonate,calcium carbonate,"Antacids, Minerals and electrolytes",Duodenal Ulcer|Erosive Esophagitis|GERD|GERD (Heartburn)|Hypocalcemia|Indigestion|Osteopenia|Osteoporosis|Stomach Ulce
calcium citrate,calcium citrate,Minerals and electrolytes,Dietary Supplementation|Osteoporosis
calcium lactate,calcium lactate,Minerals and electrolytes,Hypocalcemia|Hypoparathyroidism|Osteomalacia|Osteoporosis|Pseudohypoparathyroidism
caldecort,hydrocortisone,Topical steroids,Eczema
cambia,diclofenac,Nonsteroidal anti-inflammatory drugs,Migraine
canagliflozin,canagliflozin,SGLT-2 inhibitors,"Cardiovascular Risk Reduction|Diabetes (Type 2)|Diabetes, Type 2|Diabetic Kidney Disease (Diabetic Nephropathy)"
candesartan,candesartan,Angiotensin receptor blockers,Alport Syndrome|High Blood Pressure|Hypertension|Migraine Prevention
capex,fluocinolone topical,Topical steroids,Atopic Dermatitis|Eczema
caplyta,lumateperone,Atypical antipsychotics,Bipolar Disorder
capsaicin,capsaicin topical,Miscellaneous topical agents,Burning Mouth Syndrome (Glossopyrosis)|Diabetic Peripheral Neuropathy|Not Listed / Othe|Osteoarthritis|Pain|Peripheral Neuropathy|Postherpetic Neuralgia
capsin,capsaicin topical,Miscellaneous topical agents,Osteoarthritis|Pain
capzasin-hp,capsaicin topical,Miscellaneous topical agents,Diabetic Peripheral Neuropathy|Osteoarthritis|Postherpetic Neuralgia
carafate,sucralfate,Miscellaneous GI agents,Duodenal Ulce|GERD|GERD (Heartburn)|Stomach Ulce|Stress Ulcer Prophylaxis
carbamazepine,carbamazepine,Dibenzazepine anticonvulsants,Bipolar Disorde|Bipolar Disorder|Borderline Personality Disorde|Borderline Personality Disorder|Cluster-Tic Syndrome|Cyclothymic Disorder|Diabetic Peripheral Neuropathy|Dystonia|Epilepsy|Not Listed / Othe|Occipital Neuralgia|Peripheral Neuropathy|Reflex Sympathetic Dystrophy Syndrome|Schizoaffective Disorde|Schizoaffective Disorder|Trigeminal Neuralgia|Vulvodynia
carbinoxamine,carbinoxamine,Antihistamines,"Allergic Rhinitis|Allergic Urticaria|Conjunctivitis, Allergic|Dermatographism|Hayfever|Vasomotor Rhinitis"
carboxine,carbinoxamine,Antihistamines,Hayfever
cardene iv,nicardipine,Calcium channel blocking agents,Hypertension
cardizem cd,diltiazem,"Calcium channel blocking agents, Group IV antiarrhythmics",Atrial Fibrillation|Atrial Flutte|Hypertension|Supraventricular Tachycardia
cardizem la,diltiazem,"Calcium channel blocking agents, Group IV antiarrhythmics",Atrial Fibrillation|High Blood Pressure|Hypertension
cardura,doxazosin,"Alpha-adrenoreceptor antagonists, Antiadrenergic agents, peripherally acting",Benign Prostatic Hyperplasia|High Blood Pressure|Hypertension
cariprazine,cariprazine,Atypical antipsychotics,Bipolar Disorde|Bipolar Disorder|Schizophrenia
carospir,spironolactone,"Aldosterone receptor antagonists, Potassium-sparing diuretics",Hypertension
cartia xt,diltiazem,"Calcium channel blocking agents, Group IV antiarrhythmics",Atrial Fibrillation|Atrial Flutte|High Blood Pressure|Hypertension|Supraventricular Tachycardia
carvedilol,carvedilol,Non-cardioselective beta blockers,Angina|Atrial Fibrillation|Heart Failure|Heart Failure (Congestive Heart Failure)|High Blood Pressure|High Blood Pressure (Hypertension)|Left Ventricular Dysfunction|Not Listed / Othe
castiva cooling,methyl salicylate topical,Topical rubefacient,Osteoarthritis
castiva warming,capsaicin topical,Miscellaneous topical agents,Osteoarthritis
cataflam,diclofenac,Nonsteroidal anti-inflammatory drugs,Ankylosing Spondylitis|Back Pain|Osteoarthritis|Pain|Period Pain|Sciatica
catapres,clonidine,"Antiadrenergic agents, centrally acting","ADHD|Alcohol Withdrawal|Anxiety|Benzodiazepine Withdrawal|Bipolar Disorde|Hyperhidrosis|Hypertension|Hypertensive Emergency|Insomnia, Stimulant-Associated|Migraine Prevention|Opiate Withdrawal|Perimenopausal Symptoms|Tourette's Syndrome"
catapres-tts,clonidine,"Antiadrenergic agents, centrally acting",High Blood Pressure|Hypertension|Opiate Withdrawal
caverject,alprostadil,"Impotence agents, Vasodilators",Erectile Dysfunction
caverject impulse,alprostadil,"Impotence agents, Vasodilators",Erectile Dysfunction
cefadroxil,cefadroxil,First generation cephalosporins,Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis)|Impetigo|Skin and Structure Infection|Tonsillitis/Pharyngitis|UTI
cefazolin,cefazolin,First generation cephalosporins,Bacterial Endocarditis Prevention|Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis)|Bone infection (Osteomyelitis)|Cholecystitis|Endocarditis|Joint Infection|Kidney Infections (Pyelonephritis)|Peritonitis|Pneumonia|Prevention of Perinatal Group B Streptococcal Disease|Septicemia|Surgical Prophylaxis
cefepime,cefepime,Fourth generation cephalosporins,Bacteremia|Febrile Neutropenia|Intraabdominal Infection|Kidney Infections (Pyelonephritis)|Nosocomial Pneumonia|Pneumonia|Skin and Structure Infection
cefiderocol,cefiderocol,Other cephalosporins,UTI
cefixime,cefixime,Third generation cephalosporins,"Bladder Infection|Bronchitis|Gonococcal Infection, Disseminated|Gonococcal Infection, Uncomplicated|Otitis Media|Pneumonia|STD Prophylaxis|Sinusitis|Tonsillitis/Pharyngitis|Upper Respiratory Tract Infection|Urinary Tract Infection"
cefotan,cefotetan,Second generation cephalosporins,Pneumonia
cefotaxime,cefotaxime,Third generation cephalosporins,"Bacteremia|Bone infection (Osteomyelitis)|CNS Infection|Cesarean Section|Endometritis|Epiglottitis|Gonococcal Infection, Disseminated|Intraabdominal Infection|Kidney Infections (Pyelonephritis)|Lyme Disease|Lyme Disease, Arthritis|Lyme Disease, Carditis|Lyme Disease, Neurologic|Meningitis|Pelvic Inflammatory Disease|Peritonitis|Pneumonia|Salmonella Gastroenteritis|Sepsis|Septicemia|Skin or Soft Tissue Infection|Surgical Prophylaxis"
cefotetan,cefotetan,Second generation cephalosporins,Cesarean Section|Cholecystitis|Pneumonia
cefprozil,cefprozil,Second generation cephalosporins,Bladder Infection|Bronchitis|Pneumonia|Sinusitis|Tonsillitis/Pharyngitis|Upper Respiratory Tract Infection
ceftaroline,ceftaroline,Next generation cephalosporins,Pneumonia
ceftazidime,ceftazidime,Third generation cephalosporins,Bacteremia|Bone infection (Osteomyelitis)|Endocarditis|Endometritis|Febrile Neutropenia|Intraabdominal Infection|Joint Infection|Melioidosis|Meningitis|Nosocomial Pneumonia|Otitis Externa|Pelvic Inflammatory Disease|Peritonitis|Pneumonia|Pneumonia with Cystic Fibrosis|Sepsis|Septicemia
ceftin,cefuroxime,Second generation cephalosporins,Bacterial Infection|Bladder Infection|Bronchitis|Lyme Disease|Pneumonia|Sinusitis|Strep Throat|Tonsillitis/Pharyngitis|Upper Respiratory Tract Infection|Urinary Tract Infection
cefuroxime,cefuroxime,Second generation cephalosporins,"Bacterial Infection|Bladder Infection|Bone infection (Osteomyelitis)|Bronchitis|Epiglottitis|Gonococcal Infection, Disseminated|Gonococcal Infection, Uncomplicated|Impetigo|Joint Infection|Kidney Infections (Pyelonephritis)|Lyme Disease|Meningitis|Otitis Media|Peritonitis|Pneumonia|Sepsis|Sinusitis|Skin and Structure Infection|Strep Throat|Strep Throat (Streptococcal Pharyngitis)|Surgical Prophylaxis|Tonsillitis/Pharyngitis|Upper Respiratory Tract Infection|Urinary Tract Infection|Wound Infection"
cefzil,cefprozil,Second generation cephalosporins,Bladder Infection|Bronchitis|Pneumonia|Sinusitis|Tonsillitis/Pharyngitis|Upper Respiratory Tract Infection
celebrex,celecoxib,Cox-2 inhibitors,Ankylosing Spondylitis|Juvenile Rheumatoid Arthritis|Osteoarthritis|Pain|Period Pain|Rheumatoid Arthritis
celecoxib,celecoxib,Cox-2 inhibitors,Ankylosing Spondylitis|Familial Adenomatous Polyposis|Fibromatosis|Juvenile Rheumatoid Arthritis|Migraine|Not Listed / Othe|Osteoarthritis|Pain|Period Pain|Period Pain (Dysmenorrhea)|Rheumatoid Arthritis|Spondyloarthritis
celexa,citalopram,Selective serotonin reuptake inhibitors,Anxiety and Stress|Bipolar Disorde|Depression|Generalized Anxiety Disorde|Obsessive Compulsive Disorde|Panic Disorde|Post Traumatic Stress Disorde|Postpartum Depression|Premenstrual Dysphoric Disorde|Trichotillomania
celontin,methsuximide,Succinimide anticonvulsants,Seizures
cenobamate,cenobamate,Carbamate anticonvulsants,Seizures
cephalexin,cephalexin,First generation cephalosporins,Acne|Bacterial Endocarditis Prevention|Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis)|Bacterial Infection|Bladder Infection|Bone infection|Bone infection (Osteomyelitis)|Kidney Infections|Kidney Infections (Pyelonephritis)|Otitis Media|Pharyngitis|Prostatitis|Skin or Soft Tissue Infection|Upper Respiratory Tract Infection
cerave sa renewing,salicylic acid topical,"Topical acne agents, Topical keratolytics",Acne
certolizumab,certolizumab,TNF alfa inhibitors,"Ankylosing Spondylitis|Crohn's Disease|Crohn's Disease, Acute|Crohn's Disease, Maintenance|Psoriatic Arthritis|Rheumatoid Arthritis"
cetirizine,cetirizine,Antihistamines,"Allergic Rhinitis|Conjunctivitis, Allergic|Eustachian Tube Dysfunction|Hayfever|Not Listed / Othe|Physical Urticaria|Urticaria"
chiggerex,benzocaine,Topical anesthetics,Pain
children's motrin,ibuprofen,Nonsteroidal anti-inflammatory drugs,Pain|eve
children's silapap,acetaminophen liquid,Miscellaneous analgesics,Pain
children's tylenol,acetaminophen,Miscellaneous analgesics,Pain
chlo-amine,chlorpheniramine,Antihistamines,Colds & Flu
chlor-mal,chlorpheniramine,Antihistamines,Colds & Flu
chlor-trimeton,chlorpheniramine,Antihistamines,Allergic Reactions|Allergic Rhinitis|Colds & Flu|Urticaria
chlorothiazide,chlorothiazide,Thiazide diuretics,Edema|Hypertension
chlorpheniramine,chlorpheniramine,Antihistamines,Allergic Reactions|Allergic Rhinitis|Cold Symptoms|Colds & Flu|Urticaria
chlortan,chlorpheniramine,Antihistamines,Colds & Flu
chorionic gonadotropin (hcg),human chorionic gonadotropin,Gonadotropins,"Female Infertility|Hypogonadism, Male|Obesity|Ovulation Induction|Prepubertal Cryptorchidism|Weight Loss"
chromium picolinate,chromium picolinate,Minerals and electrolytes,"Diabetes (Type 2)|Diabetes, Type 2|Vitamin/Mineral Supplementation and Deficiency"
cialis,tadalafil,Impotence agents,Benign Prostatic Hyperplasia|Erectile Dysfunction
ciclesonide,ciclesonide nasal,Nasal steroids,"Allergic Rhinitis|Asthma|Asthma, Maintenance|Hayfever"
cidaleaze,lidocaine hydrochloride,Topical anesthetics,Pain
cimetidine,cimetidine,H2 antagonists,Bronchogenic Carcinoma|Cutaneous Mastocytosis|Duodenal Ulcer Prophylaxis|GERD|GERD (Heartburn)|Human Papilloma Virus|Indigestion|Laryngopharyngeal Reflux|Stomach Ulce|Stress Ulcer Prophylaxis|Upper GI Hemorrhage|Zollinger-Ellison Syndrome
cimzia,certolizumab,TNF alfa inhibitors,"Ankylosing Spondylitis|Crohn's Disease|Crohn's Disease, Acute|Crohn's Disease, Maintenance|Psoriatic Arthritis|Rheumatoid Arthritis"
cinolar,triamcinolone,Topical steroids,Eczema
cinqair,reslizumab,Interleukin inhibitors,Asthma
cipro,ciprofloxacin,Quinolones,Anthrax|Bacterial Infection|Bladder Infection|Bone infection|Bronchitis|Cholera|Crohn's Disease|Diverticulitis|Infection Prophylaxis|Kidney Infections|Prostatitis|Sinusitis|Skin or Soft Tissue Infection|Traveler's Diarrhea|Typhoid Feve|Urinary Tract Infection
cipro i.v.,ciprofloxacin,Quinolones,Bronchitis
cipro xr,ciprofloxacin,Quinolones,Bronchitis
ciprofloxacin,ciprofloxacin,Quinolones,"Acute Otitis Externa|Anthrax|Anthrax Prophylaxis|Bacteremia|Bacterial Infection|Bladder Infection|Bone infection|Bone infection (Osteomyelitis)|Bronchiectasis|Bronchitis|Chancroid|Cholera|Conjunctivitis, Bacterial|Corneal Ulcer|Crohn's Disease|Crohn's Disease, Acute|Cutaneous Bacillus anthracis|Diverticulitis|Epididymitis, Sexually Transmitted|Febrile Neutropenia|Gastrointestinal Perforation|Gonococcal Infection, Disseminated|Gonococcal Infection, Uncomplicated|Granuloma Inguinale|Infection Prophylaxis|Infectious Diarrhea|Intraabdominal Infection|Joint Infection|Kidney Infections|Kidney Infections (Pyelonephritis)|Meningococcal Meningitis Prophylaxis|Mycobacterium avium-intracellulare, Treatment|Nosocomial Pneumonia|Not Listed / Othe|Ophthalmic Surgery|Peritonitis|Plague|Plague Prophylaxis|Pneumonia|Pneumonia with Cystic Fibrosis|Pouchitis|Prostatitis|Rabbit Fever (Tularemia)|Salmonella Enteric Fever|Salmonella Gastroenteritis|Shigellosis|Sinusitis|Skin and Structure Infection|Skin or Soft Tissue Infection|Surgical Prophylaxis|Traveler's Diarrhea|Tuberculosis, Active|Tympanostomy Tube Placement Surgery|Typhoid Feve|Typhoid Fever|Urinary Tract Infection"
citalopram,citalopram,Selective serotonin reuptake inhibitors,Agitation|Anxiety and Stress|Bipolar Disorde|Bipolar Disorder|Body Dysmorphic Disorder|Borderline Personality Disorde|Borderline Personality Disorder|Depression|Dissociative Identity Disorder|Excoriation Disorder|Generalized Anxiety Disorde|Generalized Anxiety Disorder|Hot Flashes|Neuralgia|Not Listed / Othe|Obsessive Compulsive Disorde|Obsessive Compulsive Disorder|Occipital Neuralgia|Panic Disorde|Panic Disorder|Persistent Depressive Disorde|Persistent Depressive Disorder|Post Traumatic Stress Disorde|Postpartum Depression|Premenstrual Dysphoric Disorde|Premenstrual Dysphoric Disorder|Severe Mood Dysregulation|Somatoform Pain Disorder|Trichotillomania|Vulvodynia
citrate of magnesia,magnesium citrate,Laxatives,Constipation
citroma,magnesium citrate,Laxatives,Constipation
citrucel,methylcellulose,Laxatives,Constipation
claforan,cefotaxime,Third generation cephalosporins,Pneumonia
claravis,isotretinoin,"Miscellaneous antineoplastics, Miscellaneous uncategorized agents",Acne
clarinex,desloratadine,Antihistamines,Allergic Rhinitis|Hayfever|Urticaria
clarinex reditabs,desloratadine,Antihistamines,Hayfever
clarithromycin,clarithromycin,Macrolides,"Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis)|Bronchitis|Dental Abscess|Follicular Lymphoma|Helicobacter Pylori Infection|Legionella Pneumonia|Mycobacterium avium-intracellulare, Prophylaxis|Mycobacterium avium-intracellulare, Treatment|Mycoplasma Pneumonia|Nongonococcal Urethritis|Not Listed / Othe|Otitis Media|Pertussis|Pertussis Prophylaxis|Pharyngitis|Pneumonia|Sinusitis|Skin and Structure Infection|Skin or Soft Tissue Infection|Strep Throat|Strep Throat (Streptococcal Pharyngitis)|Tonsillitis/Pharyngitis|Toxoplasmosis|Upper Respiratory Tract Infection|llicular Lymphoma"
claritin,loratadine,Antihistamines,Allergic Rhinitis|Hayfever|Urticaria
claritin reditabs,loratadine,Antihistamines,Hayfever
clearlax,polyethylene glycol 3350,Laxatives,"Constipation|Constipation, Acute"
clearskin,benzoyl peroxide topical,Topical acne agents,Acne
cleeravue-m,minocycline,,Acne
cleocin,clindamycin,Lincomycin derivatives,Bacterial Infection|Pneumonia|Sinusitis|Skin or Soft Tissue Infection
